research_field,response
Genealogy,"[
{
""topic_words"": [""census"", ""records"", ""enumeration"", ""schedules"", ""federal""],
""topic_label"": ""Census Records Research""
},
{
""topic_words"": [""y-dna"", ""mtdna"", ""autosomal"", ""haplogroup"", ""matches""],
""topic_label"": ""Genealogical DNA Testing""
},
{
""topic_words"": [""birth"", ""death"", ""marriage"", ""vital"", ""certificates""],
""topic_label"": ""Vital Records Documentation""
},
{
""topic_words"": [""probate"", ""wills"", ""inheritance"", ""courts"", ""administration""],
""topic_label"": ""Probate and Will Records""
},
{
""topic_words"": [""land"", ""deeds"", ""grants"", ""property"", ""plat""],
""topic_label"": ""Land and Property Records""
},
{
""topic_words"": [""pension"", ""muster"", ""service"", ""draft"", ""military""],
""topic_label"": ""Military Service Records""
},
{
""topic_words"": [""immigration"", ""naturalization"", ""passenger"", ""arrival"", ""port""],
""topic_label"": ""Migration and Naturalization Records""
}
]"
Databases and Information Systems,"[
{
""topic_words"": [""sql"", ""relational"", ""schema"", ""query"", ""normalization""],
""topic_label"": ""Relational Database Design""
},
{
""topic_words"": [""nosql"", ""document"", ""key-value"", ""column"", ""graph""],
""topic_label"": ""NoSQL Database Types""
},
{
""topic_words"": [""mining"", ""knowledge"", ""discovery"", ""patterns"", ""algorithms""],
""topic_label"": ""Data Mining & Discovery""
},
{
""topic_words"": [""warehouse"", ""etl"", ""olap"", ""cubes"", ""business""],
""topic_label"": ""Data Warehousing and BI""
},
{
""topic_words"": [""security"", ""access"", ""encryption"", ""privacy"", ""control""],
""topic_label"": ""Database Security Measures""
},
{
""topic_words"": [""bigdata"", ""hadoop"", ""spark"", ""distributed"", ""processing""],
""topic_label"": ""Big Data Technologies""
},
{
""topic_words"": [""architecture"", ""three-tier"", ""client-server"", ""cloud"", ""model""],
""topic_label"": ""Information System Architectures""
}
]"
German Literature,"[
{ ""topic_words"": [""goethe"", ""faust"", ""romanticism"", ""weimar"", ""storm""], ""topic_label"": ""Goethe and Classicism"" },
{ ""topic_words"": [""kafka"", ""modernism"", ""existentialism"", ""prague"", ""trial""], ""topic_label"": ""Kafka and Modernist Literature"" },
{ ""topic_words"": [""brecht"", ""epic"", ""theater"", ""alienation"", ""marxism""], ""topic_label"": ""Brecht's Epic Theater"" },
{ ""topic_words"": [""grimms"", ""folktales"", ""linguistics"", ""philology"", ""mythology""], ""topic_label"": ""Grimm Brothers' Philology"" },
{ ""topic_words"": [""post-war"", ""group-47"", ""rubble"", ""aesthetics"", ""literature""], ""topic_label"": ""Post-War German Literature"" },
{ ""topic_words"": [""enlightenment"", ""lessing"", ""drama"", ""rationalism"", ""aesthetic""], ""topic_label"": ""German Enlightenment Literature"" },
{ ""topic_words"": [""gdr"", ""ostliteratur"", ""censorship"", ""berlin"", ""division""], ""topic_label"": ""GDR and East German Texts"" }
]"
Hawaiian Studies,"[
{ ""topic_words"": [""kanaka"", ""maoli"", ""sovereignty"", ""self-determination"", ""land""], ""topic_label"": ""Hawaiian Sovereignty Movement"" },
{ ""topic_words"": [""kalo"", ""wai"", ""ahupuaʻa"", ""agriculture"", ""resource""], ""topic_label"": ""Traditional Land & Water Systems"" },
{ ""topic_words"": [""hula"", ""mele"", ""oli"", ""chant"", ""performance""], ""topic_label"": ""Traditional Hawaiian Arts"" },
{ ""topic_words"": [""pidgin"", ""creole"", ""language"", ""revitalization"", ""teaching""], ""topic_label"": ""Hawaiian Language Revival"" },
{ ""topic_words"": [""aliʻi"", ""chiefdoms"", ""kapu"", ""moʻī"", ""social""], ""topic_label"": ""Pre-Contact Political Structure"" },
{ ""topic_words"": [""missionaries"", ""annexation"", ""overthrow"", ""sugar"", ""tourism""], ""topic_label"": ""History of Colonization"" },
{ ""topic_words"": [""ocean"", ""navigation"", ""voyaging"", ""waʻa"", ""fishing""], ""topic_label"": ""Traditional Oceanic Navigation"" }
]"
Classical Literature and Philology,"[
{ ""topic_words"": [""latin"", ""greek"", ""etymology"", ""linguistics"", ""diachronic""], ""topic_label"": ""Classical Linguistics and Etymology"" },
{ ""topic_words"": [""homer"", ""iliad"", ""odyssey"", ""epic"", ""formulaic""], ""topic_label"": ""Homeric Epic Studies"" },
{ ""topic_words"": [""tragedy"", ""aeschylus"", ""sophocles"", ""euripides"", ""drama""], ""topic_label"": ""Ancient Greek Tragedy"" },
{ ""topic_words"": [""manuscript"", ""textual"", ""criticism"", ""palaeography"", ""recension""], ""topic_label"": ""Textual Criticism & Transmission"" },
{ ""topic_words"": [""virgil"", ""aeneid"", ""poetry"", ""augustan"", ""mythology""], ""topic_label"": ""Roman Epic Poetry"" },
{ ""topic_words"": [""plato"", ""aristotle"", ""dialogue"", ""ethics"", ""metaphysics""], ""topic_label"": ""Classical Philosophy Texts"" },
{ ""topic_words"": [""ovid"", ""catullus"", ""lyric"", ""elegy"", ""meter""], ""topic_label"": ""Latin Lyric and Elegy"" }
]"
Volcanology,"[
{ ""topic_words"": [""magma"", ""chamber"", ""crust"", ""melt"", ""geochemistry""], ""topic_label"": ""Magma Processes and Geochemistry"" },
{ ""topic_words"": [""eruption"", ""explosive"", ""effusive"", ""vent"", ""column""], ""topic_label"": ""Volcanic Eruption Types"" },
{ ""topic_words"": [""pyroclastic"", ""flow"", ""tephra"", ""ash"", ""deposit""], ""topic_label"": ""Pyroclastic Hazards and Deposits"" },
{ ""topic_words"": [""lava"", ""flow"", ""tube"", ""basalt"", ""viscosity""], ""topic_label"": ""Lava Flows and Rheology"" },
{ ""topic_words"": [""caldera"", ""crater"", ""collapse"", ""structure"", ""edifice""], ""topic_label"": ""Volcanic Landforms and Structures"" },
{ ""topic_words"": [""seismic"", ""deformation"", ""monitoring"", ""gas"", ""hazard""], ""topic_label"": ""Volcano Monitoring and Hazards"" },
{ ""topic_words"": [""lahar"", ""debris"", ""water"", ""flow"", ""volcanic""], ""topic_label"": ""Lahar and Debris Flows"" }
]"
Graphic Design,"[
{
""topic_words"": [""typography"", ""typeface"", ""font"", ""serif"", ""readability""],
""topic_label"": ""Typographic Design Principles""
},
{
""topic_words"": [""branding"", ""identity"", ""logo"", ""visual"", ""guidelines""],
""topic_label"": ""Visual Identity and Branding""
},
{
""topic_words"": [""layout"", ""grid"", ""composition"", ""hierarchy"", ""balance""],
""topic_label"": ""Composition and Layout Design""
},
{
""topic_words"": [""user"", ""experience"", ""interface"", ""interaction"", ""usability""],
""topic_label"": ""User Experience/Interface Design""
},
{
""topic_words"": [""color"", ""theory"", ""palette"", ""harmony"", ""psychology""],
""topic_label"": ""Color Theory in Design""
},
{
""topic_words"": [""print"", ""offset"", ""prepress"", ""resolution"", ""bleed""],
""topic_label"": ""Print Production and Prepress""
},
{
""topic_words"": [""illustration"", ""vector"", ""raster"", ""drawing"", ""digital""],
""topic_label"": ""Digital Illustration Techniques""
}
]"
Japanese Studies,"[
{
""topic_words"": [""shogun"", ""samurai"", ""edo"", ""feudal"", ""tokugawa""],
""topic_label"": ""Japanese Feudal History""
},
{
""topic_words"": [""manga"", ""anime"", ""otaku"", ""subculture"", ""pop""],
""topic_label"": ""Modern Japanese Pop Culture""
},
{
""topic_words"": [""meiji"", ""restoration"", ""modernization"", ""imperial"", ""reform""],
""topic_label"": ""Meiji Restoration Era""
},
{
""topic_words"": [""zen"", ""buddhism"", ""shinto"", ""religion"", ""ritual""],
""topic_label"": ""Japanese Religion and Philosophy""
},
{
""topic_words"": [""demographics"", ""aging"", ""population"", ""shrinking"", ""social""],
""topic_label"": ""Japanese Demographic Issues""
},
{
""topic_words"": [""haiku"", ""novel"", ""literature"", ""poetry"", ""murakami""],
""topic_label"": ""Japanese Literary Genres""
},
{
""topic_words"": [""kimono"", ""fashion"", ""traditional"", ""style"", ""design""],
""topic_label"": ""Japanese Traditional Fashion""
}
]"
Integumentary System,"[ { ""topic_words"": [""epidermis"", ""keratinocytes"", ""barrier"", ""stratum"", ""basale""], ""topic_label"": ""Epidermal Structure & Function"" }, { ""topic_words"": [""melanin"", ""melanocytes"", ""uv"", ""pigmentation"", ""sunlight""], ""topic_label"": ""Skin Color and Pigmentation"" }, { ""topic_words"": [""dermis"", ""collagen"", ""elastin"", ""fibroblasts"", ""matrix""], ""topic_label"": ""Dermal Connective Tissue"" }, { ""topic_words"": [""hair"", ""follicle"", ""gland"", ""sebaceous"", ""sweat""], ""topic_label"": ""Skin Appendages Research"" }, { ""topic_words"": [""wound"", ""healing"", ""repair"", ""inflammation"", ""regeneration""], ""topic_label"": ""Wound Healing Processes"" }, { ""topic_words"": [""cancer"", ""melanoma"", ""carcinoma"", ""basal"", ""squamous""], ""topic_label"": ""Integumentary System Oncology"" }, { ""topic_words"": [""acne"", ""psoriasis"", ""eczema"", ""dermatitis"", ""inflammation""], ""topic_label"": ""Common Dermatological Conditions"" } ]"
Metaphysics,"[
{ ""topic_words"": [""being"", ""existence"", ""ontology"", ""substance"", ""categories""], ""topic_label"": ""Existence and Categories of Being"" },
{ ""topic_words"": [""cause"", ""effect"", ""causality"", ""determinism"", ""agency""], ""topic_label"": ""Metaphysics of Causation"" },
{ ""topic_words"": [""universal"", ""particular"", ""property"", ""abstract"", ""nominalism""], ""topic_label"": ""Universals and Particulars"" },
{ ""topic_words"": [""possible"", ""necessary"", ""modal"", ""worlds"", ""contingency""], ""topic_label"": ""Modal Metaphysics"" },
{ ""topic_words"": [""identity"", ""persistence"", ""time"", ""change"", ""endurance""], ""topic_label"": ""Identity and Persistence over Time"" },
{ ""topic_words"": [""mind"", ""body"", ""dualism"", ""physicalism"", ""consciousness""], ""topic_label"": ""Mind-Body Problem"" },
{ ""topic_words"": [""space"", ""time"", ""relational"", ""substantival"", ""continuum""], ""topic_label"": ""Space and Time Theories"" }
]"
American Film Studies,"[
{
""topic_words"": [""hollywood"", ""studio"", ""system"", ""production"", ""history""],
""topic_label"": ""Classical Hollywood Studio System""
},
{
""topic_words"": [""gender"", ""representation"", ""stereotype"", ""queer"", ""feminism""],
""topic_label"": ""Gender and Representation in Film""
},
{
""topic_words"": [""indie"", ""independent"", ""arthouse"", ""festival"", ""distribution""],
""topic_label"": ""American Independent Cinema""
},
{
""topic_words"": [""censorship"", ""hays"", ""code"", ""regulation"", ""morality""],
""topic_label"": ""Film Censorship and Regulation""
},
{
""topic_words"": [""genre"", ""western"", ""noir"", ""musical"", ""horror""],
""topic_label"": ""American Film Genre Studies""
},
{
""topic_words"": [""race"", ""ethnicity"", ""minority"", ""identity"", ""stereotype""],
""topic_label"": ""Race and Ethnicity in Film""
},
{
""topic_words"": [""digital"", ""streaming"", ""netflix"", ""platform"", ""media""],
""topic_label"": ""Digital Film Culture and Media""
}
]"
Poetry,"[
{ ""topic_words"": [""meter"", ""rhythm"", ""foot"", ""scansion"", ""stress""], ""topic_label"": ""Poetic Meter and Rhythm"" },
{ ""topic_words"": [""sonnet"", ""ode"", ""villanelle"", ""haiku"", ""form""], ""topic_label"": ""Fixed Poetic Forms"" },
{ ""topic_words"": [""metaphor"", ""simile"", ""imagery"", ""symbolism"", ""trope""], ""topic_label"": ""Figurative Language & Tropes"" },
{ ""topic_words"": [""lyric"", ""epic"", ""dramatic"", ""narrative"", ""genre""], ""topic_label"": ""Poetry Genres and Modes"" },
{ ""topic_words"": [""modernism"", ""imagism"", ""postmodernism"", ""avant-garde"", ""movement""], ""topic_label"": ""Modern Poetic Movements"" },
{ ""topic_words"": [""translation"", ""language"", ""original"", ""intertextuality"", ""interpretation""], ""topic_label"": ""Poetry Translation Studies"" },
{ ""topic_words"": [""performance"", ""spoken"", ""word"", ""slam"", ""oral""], ""topic_label"": ""Spoken Word Performance"" }
]"
Scholarly Publishing,"[
{ ""topic_words"": [""open"", ""access"", ""model"", ""gold"", ""green""], ""topic_label"": ""Open Access Models"" },
{ ""topic_words"": [""peer"", ""review"", ""blind"", ""editorial"", ""process""], ""topic_label"": ""Peer Review Processes"" },
{ ""topic_words"": [""journal"", ""impact"", ""factor"", ""citation"", ""metrics""], ""topic_label"": ""Journal Metrics & Evaluation"" },
{ ""topic_words"": [""predatory"", ""publishing"", ""scams"", ""integrity"", ""ethics""], ""topic_label"": ""Scholarly Ethics & Integrity"" },
{ ""topic_words"": [""copyright"", ""licensing"", ""creative"", ""commons"", ""rights""], ""topic_label"": ""Copyright and Licensing"" },
{ ""topic_words"": [""repository"", ""institutional"", ""preprint"", ""archive"", ""sharing""], ""topic_label"": ""Scholarly Repositories and Archiving"" },
{ ""topic_words"": [""data"", ""management"", ""sharing"", ""reproducibility"", ""storage""], ""topic_label"": ""Research Data Publishing"" }
]"
Wounds and Injuries,"[
{ ""topic_words"": [""healing"", ""inflammation"", ""regeneration"", ""fibrosis"", ""scar""], ""topic_label"": ""Wound Healing Mechanisms"" },
{ ""topic_words"": [""trauma"", ""injury"", ""severity"", ""triage"", ""emergency""], ""topic_label"": ""Acute Trauma Management"" },
{ ""topic_words"": [""chronic"", ""ulcer"", ""diabetic"", ""pressure"", ""infection""], ""topic_label"": ""Chronic Wound Care"" },
{ ""topic_words"": [""burns"", ""thermal"", ""chemical"", ""skin"", ""grafting""], ""topic_label"": ""Burn Injury Studies"" },
{ ""topic_words"": [""biomechanics"", ""impact"", ""blunt"", ""penetrating"", ""protection""], ""topic_label"": ""Injury Biomechanics"" },
{ ""topic_words"": [""prevention"", ""safety"", ""risk"", ""intervention"", ""epidemiology""], ""topic_label"": ""Injury Prevention & Safety"" },
{ ""topic_words"": [""dressing"", ""bandage"", ""sutures"", ""closure"", ""management""], ""topic_label"": ""Wound Dressing and Closure"" }
]"
Physical Chemistry,"[
{ ""topic_words"": [""thermodynamics"", ""entropy"", ""enthalpy"", ""gibbs"", ""equilibrium""], ""topic_label"": ""Chemical Thermodynamics"" },
{ ""topic_words"": [""kinetics"", ""rate"", ""reaction"", ""mechanism"", ""catalysis""], ""topic_label"": ""Reaction Kinetics"" },
{ ""topic_words"": [""quantum"", ""mechanics"", ""molecular"", ""orbital"", ""schrödinger""], ""topic_label"": ""Quantum Chemistry"" },
{ ""topic_words"": [""spectroscopy"", ""absorption"", ""emission"", ""vibrational"", ""raman""], ""topic_label"": ""Molecular Spectroscopy"" },
{ ""topic_words"": [""surface"", ""adsorption"", ""interface"", ""heterogeneous"", ""catalyst""], ""topic_label"": ""Surface Chemistry"" },
{ ""topic_words"": [""statistical"", ""ensemble"", ""partition"", ""boltzmann"", ""microstate""], ""topic_label"": ""Statistical Mechanics"" },
{ ""topic_words"": [""electrochemistry"", ""potential"", ""electrode"", ""cell"", ""current""], ""topic_label"": ""Electrochemical Systems"" }
]"
Other Economics,"[
{
""topic_words"": [""behavioral"", ""nudges"", ""psychology"", ""decisions"", ""cognitive""],
""topic_label"": ""Behavioral Economics Insights""
},
{
""topic_words"": [""law"", ""regulation"", ""contracts"", ""liability"", ""taxation""],
""topic_label"": ""Law and Economic Regulation""
},
{
""topic_words"": [""digital"", ""platform"", ""gig"", ""sharing"", ""commerce""],
""topic_label"": ""Digital and Platform Economy""
},
{
""topic_words"": [""experimental"", ""field"", ""lab"", ""incentives"", ""design""],
""topic_label"": ""Experimental Economics Methods""
},
{
""topic_words"": [""happiness"", ""wellbeing"", ""utility"", ""life"", ""satisfaction""],
""topic_label"": ""Economics of Happiness""
},
{
""topic_words"": [""inequality"", ""mobility"", ""wealth"", ""poverty"", ""distribution""],
""topic_label"": ""Socio-Economic Inequality""
},
{
""topic_words"": [""complexity"", ""agent"", ""simulation"", ""networks"", ""adaptation""],
""topic_label"": ""Complex Adaptive Systems""
}
]"
Glass Arts,"[
{
""topic_words"": [""blowpipe"", ""furnace"", ""gathers"", ""glory"", ""marver""],
""topic_label"": ""Hot Glassblowing Techniques""
},
{
""topic_words"": [""kiln"", ""fusing"", ""slumping"", ""casting"", ""heat""],
""topic_label"": ""Kiln-Forming Glass Art""
},
{
""topic_words"": [""cutting"", ""grinding"", ""polishing"", ""engraving"", ""cold""],
""topic_label"": ""Cold Glass Working Processes""
},
{
""topic_words"": [""frit"", ""cane"", ""millefiori"", ""rod"", ""color""],
""topic_label"": ""Glass Color Application""
},
{
""topic_words"": [""stained"", ""leaded"", ""solder"", ""came"", ""window""],
""topic_label"": ""Stained Glass Artistry""
},
{
""topic_words"": [""silica"", ""soda"", ""lime"", ""oxide"", ""composition""],
""topic_label"": ""Glass Material Chemistry""
},
{
""topic_words"": [""mold"", ""pattern"", ""free-blowing"", ""sculpture"", ""form""],
""topic_label"": ""Glass Forming and Shaping""
}
]"
Other Sociology,"[
{
""topic_words"": [""knowledge"", ""production"", ""science"", ""technology"", ""studies""],
""topic_label"": ""Science & Technology Studies""
},
{
""topic_words"": [""health"", ""illness"", ""medicalization"", ""bodies"", ""healthcare""],
""topic_label"": ""Sociology of Health & Illness""
},
{
""topic_words"": [""space"", ""urban"", ""place"", ""community"", ""built""],
""topic_label"": ""Urban Sociology & Space""
},
{
""topic_words"": [""consumption"", ""consumer"", ""culture"", ""markets"", ""goods""],
""topic_label"": ""Sociology of Consumption""
},
{
""topic_words"": [""media"", ""digital"", ""communication"", ""internet"", ""social""],
""topic_label"": ""Digital & Media Sociology""
},
{
""topic_words"": [""emotion"", ""feeling"", ""interaction"", ""affect"", ""management""],
""topic_label"": ""Sociology of Emotion""
},
{
""topic_words"": [""food"", ""system"", ""agriculture"", ""consumption"", ""security""],
""topic_label"": ""Sociology of Food Systems""
}
]"
