topic_words,topic_label,predicted_label_small,predicted_label_base,predicted_label_large
"data, big, processing, analytics, privacy, stream, structure, storage",Big Data Analytics,Data Processing,Big Data Processing,Big Data Analytics
"water, model, management, change, climate, elsevier, impact, decision",Water Management Models,Water Models,Water Management Models,Water Modeling
"model, based, modelling, simulation, process, elsevier, analysis, study",Process Simulation,Model Based Modeling,Model Based Modelling,Model-Based Simulation
"model, based, approach, modeling, verification, checking, property, language",Model Verification,Model Based Methodology,Model Based Approaches,Model-Based Verification
"algorithm, time, network, problem, data, based, proposed, sensor",Network Algorithms,Algorithms,Time-Based Algorithms,Algorithmic Sensor Networks
"proof, logic, calculus, separation, order, semantics, theory, relation",Logic And Proof,ProofLogic Calculus,Logical Calculus,Proof Theory
"software, safety, requirement, development, engineering, research, automotive, study",Software Safety Engineering,Software Engineering,Software Engineering,Software Requirement Engineering
"race, memory, data, event, bug, concurrency, concurrent, detection",Concurrency Bugs,Race Memory Data Analysis,Concurrency Detection,Concurrency and Memory Management
"analysis, static, flow, program, graph, precision, code, dynamic",Static Code Analysis,Analyse,Static Programming,Static Analysis
"model, learning, deep, network, neural, training, machine, method",Deep Learning Models,Model Learning,Deep Networked Learning,Deep Neural Networks
"test, testing, autonomous, driving, performance, input, scenario, case",Autonomous Testing,Test-Testing,Test Driven Driving,Autonomous Driving Systems
"model, checking, verification, property, formal, software, based, checker",Formal Model Checking,Model Checking,Software Based Verification,Software-Based Verification
"apps, app, user, mobile, permission, developer, issue, analysis",Mobile App Analysis,Apps,Apps and Mobile Devices,Mobile App Permissions
"symbolic, execution, path, program, input, coverage, engine, constraint",Symbolic Execution,Symbolic Execution,Symbolic Execution,Symbolic Execution
"program, invariant, verification, loop, technique, termination, approach, property",Program Verification,Program Invariant Methods,Programming Invariant Verification,Program Invariant Verification
"fault, localization, technique, failure, program, debugging, based, spectrum",Fault Localization,Debugging,Program Debugging Techniques,Fault-Based Programming
"language, programming, code, semantics, compiler, specification, transformation, implementation",Programming Languages,Language Programming,Language Programming,Programming Language Semantics
"algorithm, synthesis, automaton, constraint, problem, solver, specification, state",Algorithm Synthesis,Algorithms,Algorithm Synthesis,Automated Problem Solving
"model, process, transformation, modeling, language, approach, business, tool",Business Process Modeling,Model Transformation,Business Modeling,Modeling and Transformation
"mobile, device, edge, network, user, application, computing, offloading",Edge Computing,Mobile Devices,Mobile Device Computing,Mobile Device Computing
"graph, vertex, path, edge, query, processing, time, network",Graph Processing,Diagramm Processing,Network Processing Techniques,Graph Processing
"mutant, mutation, operator, equivalent, testing, program, analysis, suite",Mutation Testing,Mutant Technologies,Mutant Mutation Operators,Mutant Molecular Testing
"quantum, circuit, computer, program, computing, software, classical, qubits",Quantum Computing,Quantum Computer Programming,Quantum Computing,Quantum Computing
"type, typing, typed, gradual, session, inference, refinement, function",Type Systems,Typing,Typed Inference,Typing Algorithms
"problem, constraint, solution, solver, instance, programming, relaxation, integer",Constraint Solving,Problem Restrictions,Problem Solving Techniques,Problem Solving Algorithms
"smell, code, design, detection, bad, study, class, test",Code Smells,Germination Code Design,Bad Smell Code Design,Bad Software Design
"optimization, design, topology, objective, structural, problem, proposed, based",Structural Optimization,Optimization Design,Optimization Design,Optimization Theory and Design
"model, analysis, simulation, structure, material, method, data, element",Material Simulation,Model Analysis,Model Analysis and Simulation,Modeling and Simulation
"vulnerability, security, attack, code, analysis, vulnerable, secure, detection",Security Vulnerabilities,Security Attacks,Security Analysis Techniques,Vulnerability Analysis and Security
"mesh, element, finite, boundary, domain, method, surface, grid",Finite Element Method,Mesh-Elements,Finite Element Geometry,Finite Element Methods
